id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weighing_approach,item_nsu_hetero_type,unit,weight,raw_canonical,published,corrected_unit,magnitude_corrected,decades_moved,snap_rule,snap_referee,snap_block,disputed,step1_flagged,unusable,any_uncertainty,cleaning_notes
114,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",small_size,2,0.385,0.385,385.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
115,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",small_size,2,0.095,0.095,95.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
118,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",small_size,2,0.27,0.27,270.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
124,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",medium_size,2,920.0,920.0,920.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
125,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.035,1035.0,1035.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
121,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,2,1.42,1.42,1420.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
123,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.27,1270.0,1270.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
122,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.91,1910.0,1910.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
128,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.12,1120.0,1120.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
126,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.15,1150.0,1150.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
127,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,2.635,2635.0,2635.0,g,False,0.0,log10 median,cell,0,False,True,False,True,
120,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.275,1275.0,1275.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
119,AKLAN,BANGA,chicken,whole (chicken),"Size-based (small, medium, large)",large_size,1,1.765,1765.0,1765.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
133,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,30.0,30.0,30.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
129,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,28.0,28.0,28.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
130,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,25.0,25.0,25.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
132,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,25.0,25.0,25.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
134,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,30.0,30.0,30.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
131,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",pieces or units,"Price-quantity based (lower, median, higher price)",municipality_median,2,32.0,32.0,32.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
135,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,330.0,330.0,330.0,g,False,0.0,log10 median,prov_hetero,0,False,True,False,True,
138,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,300.0,300.0,300.0,g,False,0.0,log10 median,prov_hetero,0,False,True,False,True,
136,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,280.0,280.0,280.0,g,False,0.0,log10 median,prov_hetero,0,False,True,False,True,
137,AKLAN,BANGA,"crackers, cookies, buiscuits, chips/curls",putos,"Price-quantity based (lower, median, higher price)",municipality_median,2,320.0,320.0,320.0,g,False,0.0,log10 median,prov_hetero,0,False,True,False,True,
139,AKLAN,BANGA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,"Size-based (small, medium, large)",small_size,2,0.085,0.085,85.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
