pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,500,79.5,6.289308176100629,40,10,7,2.720212041340042,216.2568572865333,.4325137145730667
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,360,120,3,40,10,7,2.720212041340042,326.4254449608051,.9067373471133474
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,230,79.5,2.893081761006289,40,10,7,2.720212041340042,216.2568572865333,.9402472055936233
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,300,120,2.5,40,10,7,2.720212041340042,326.4254449608051,1.088084816536017
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,250,79.5,3.144654088050315,40,10,7,2.720212041340042,216.2568572865333,.8650274291461334
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,114,120,.95,40,10,7,2.720212041340042,326.4254449608051,2.863381096147413
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,500,79.5,6.289308176100629,40,10,7,2.720212041340042,216.2568572865333,.4325137145730667
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,114,120,.95,40,10,7,2.720212041340042,326.4254449608051,2.863381096147413
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,380,80.17110547152433,4.739862295337449,40,10,7,2.720212041340042,218.082406471183,.573901069661008
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,500,121.0129893909801,4.131787856132974,40,10,7,2.720212041340042,329.1809908998989,.6583619817997978
