pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
chicken,AKLAN,MALINAO,pieces or units,g,205.2631578947369,4,0,545,5,.3766296475132787,-.4240854962029721
chicken,AKLAN,MALINAO,whole (chicken),g,1220,16,0,1640,2,.7439024390243902,-.1284840173729496
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,pieces or units,g,35.4354553981302,42,0,28,6,1.26555197850465,.1022799871190567
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALINAO,putos,g,320.7520161976599,49,0,300,1,1.069173387325533,.0290481402439555
fresh fish,AKLAN,MALINAO,pieces or units,g,841.6666666666666,1,0,505,6,1.666666666666667,.2218487496163563
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MALINAO,pieces or units,mL,22,13,0,110,3,.2,-.6989700043360187
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MALINAO,putos,mL,150,3,0,600,3,.25,-.6020599913279623
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MALINAO,small cup,mL,44,6,0,110,4,.4,-.3979400086720375
"liquor (e.g, whisky, coconut wine)",AKLAN,MALINAO,lipid/lapad,mL,372.1374045801527,14,0,375,6,.9923664122137406,-.0033279433489274
"liquor (e.g, whisky, coconut wine)",AKLAN,MALINAO,long-neck,mL,126.8115942028986,12,0,750,14,.1690821256038647,-.771902301106642
loaf bread,AKLAN,MALINAO,large packs,g,557.1428571428571,37,0,620,5,.8986175115207373,-.0464251224860115
loaf bread,AKLAN,MALINAO,medium packs,g,412.5,19,0,450,6,.9166666666666666,-.0377885608893998
loaf bread,AKLAN,MALINAO,small packs,g,44,18,0,310,2,.1419354838709677,-.8479090173480851
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALINAO,putos,g,203.3003300330033,21,0,200,3,1.016501650165016,.0071080879981392
cabbage,AKLAN,NABAS,pieces or units,g,792.8571428571429,3,0,835,20,.9495295124037639,-.0224915323751827
camote tops,AKLAN,NABAS,bugkos,g,67.5,1,0,135,5,.5,-.3010299956639811
