hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H008305,loaf bread,2,dalagku nga putos,CAPIZ,DUMALAG,purchased,100,large packs,2.352941176470588,refused: A11 spelling gap
H008327,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,maisot nga tasa,CAPIZ,JAMINDAN,purchased,20,small cup,2,refused: A11 spelling gap
H008347,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,MALAY,purchased,5,pieces or units,4.2,refused: A11 spelling gap
H008370,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",21,small cup (translate),ANTIQUE,BARBAZA,purchased,10,small cup,5.125,refused: A11 spelling gap
H008381,carrot,2,binilog,ANTIQUE,BELISON,purchased,10,pieces or units,2,refused: A11 spelling gap
H008384,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,CALINOG,purchased,150,long-neck,,refused: unique price
H008455,"liquor (e.g, whisky, coconut wine)",1,long-neck,ILOILO,CALINOG,purchased,150,long-neck,,refused: unique price
H008464,loaf bread,1,plastic bag,ILOILO,BADIANGAN,purchased,50,plastic bag,,refused: nothing anywhere
H008486,fresh fish,4,binilog,ANTIQUE,LAUA-AN,purchased,25,pieces or units,,refused: unique price
H008491,loaf bread,21,gagmay nga putos,ANTIQUE,PATNONGON,purchased,7,small packs,2.625,refused: A11 spelling gap
H008537,fresh fish,1,putos,ILOILO,SARA,purchased,100,pack,3,refused: A11 spelling gap
H008602,fresh fish,5,binilog,ANTIQUE,PATNONGON,gift,30,pieces or units,2.571428571428572,refused: A11 spelling gap
H008611,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H008615,"mineral or spring water, all drinking water sold in containers",14,tab,ANTIQUE,HAMTIC,own_production,150,tab,,refused: nothing anywhere
H008617,"preserved or processed meat (tocino, tapa, longaniza, etc)",2,lata,ANTIQUE,TOBIAS FORNIER,purchased,27,cans,,refused: unique price
H008629,"liquor (e.g, whisky, coconut wine)",1,lipid / lapad,CAPIZ,SAPI-AN,purchased,65,lipid/lapad,4.333333333333333,refused: A11 spelling gap
H008635,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,pitcher,ILOILO,OTON,purchased,100,pitcher,,refused: nothing anywhere
H008670,fresh fish,1,bilog,CAPIZ,PILAR,purchased,80,pieces or units,,refused: unique price
H008674,loaf bread,6,gagmay nga putos,ILOILO,SARA,purchased,8.333333333333334,small packs,3.136363636363637,refused: A11 spelling gap
H008718,"liquor (e.g, whisky, coconut wine)",2,lapad,AKLAN,IBAJAY,purchased,75,lipid/lapad,2,refused: A11 spelling gap
H008720,"prawns, lobster, shrimp",1,tumpok,ILOILO,BANATE,purchased,100,tumpok,,refused: unique price
H008743,loaf bread,4,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,6,small packs,3.076923076923077,refused: A11 spelling gap
H008762,loaf bread,30,gagmay nga putos,ANTIQUE,PATNONGON,purchased,5,small packs,2.625,refused: A11 spelling gap
H008777,carrot,1,pack,ANTIQUE,LIBERTAD,purchased,25,pack,,refused: nothing anywhere
H008852,carrot,1,pack,CAPIZ,DUMARAO,purchased,20,pack,,refused: nothing anywhere
H008901,carrot,1,pack of slices,ILOILO,BAROTAC VIEJO,purchased,75,pack of slices,,refused: nothing anywhere
H008911,carrot,1,putos or pack,ILOILO,IGBARAS,purchased,25,putos or pack,,refused: nothing anywhere
H009006,"crackers, cookies, buiscuits, chips/curls",1,packs,ILOILO,CABATUAN,purchased,60,pack,,refused: unique price
H009068,fresh fish,2,putos,ILOILO,SARA,purchased,50,pack,3,refused: A11 spelling gap
