pull_province,pull_item,pull_municipal_city,p,rung,harmonized_nsu_unit,grams,n_g,weighing_approach,d_thin,gpp,cv_gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
AKLAN,"crackers, cookies, buiscuits, chips/curls",MALAY,105,2,putos,330,7,price-quantity,0,3.142857142857143,.4922658415644239,15,13,10,3.743589743589744,393.0769230769231,1.191142191142191
AKLAN,"liquor (e.g, whisky, coconut wine)",MALAY,130,2,lipid/lapad,375,9,size-based,0,2.884615384615385,.2637839245228962,10,8,9,4.411764705882353,573.529411764706,1.529411764705883
AKLAN,"liquor (e.g, whisky, coconut wine)",MALAY,536.25,3,long-neck,750,9,size-based,0,1.398601398601399,.5724217485176846,14,14,9,2.5,1340.625,1.7875
AKLAN,loaf bread,MALAY,152.5,3,large packs,580,4,size-based,0,3.80327868852459,.1855166627815084,6,6,6,4.162601626016261,634.7967479674797,1.094477151668068
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",MALAY,117.5,1,putos,275,7,price-quantity,0,2.340425531914894,.4449233113013139,15,11,9,2.608695652173913,306.5217391304348,1.114624505928854
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",MALAY,120,2,putos,360,7,price-quantity,0,3,.4449233113013139,15,11,9,2.608695652173913,313.0434782608696,.8695652173913043
AKLAN,chicken,MALINAO,190,1,pieces or units,300,2,size-based,1,1.578947368421053,.4315057725351732,14,11,6,1.666666666666667,316.6666666666667,1.055555555555556
AKLAN,chicken,MALINAO,305,2,pieces or units,562.5,2,size-based,1,1.844262295081967,.4315057725351732,14,11,6,1.666666666666667,508.3333333333334,.9037037037037038
AKLAN,chicken,MALINAO,435,3,pieces or units,1210,1,size-based,1,2.781609195402299,.4315057725351732,14,11,6,1.666666666666667,725,.5991735537190083
AKLAN,chicken,MALINAO,450,3,whole (chicken),1640,2,size-based,1,3.644444444444444,.2552423897717816,13,12,9,4.26067546583851,1917.30395962733,1.169087780260567
AKLAN,"crackers, cookies, buiscuits, chips/curls",MALINAO,45,2,pieces or units,28,6,price-quantity,0,.6222222222222222,.3394942041398167,8,7,4,.8624338624338624,38.80952380952381,1.386054421768707
AKLAN,"crackers, cookies, buiscuits, chips/curls",MALINAO,90,2,putos,300,1,price-quantity,1,3.333333333333333,.4922658415644239,15,13,10,3.65587044534413,329.0283400809717,1.096761133603239
AKLAN,"liquor (e.g, whisky, coconut wine)",MALINAO,67.5,2,lipid/lapad,375,6,size-based,0,5.555555555555555,.2637839245228962,10,8,9,3.846153846153846,259.6153846153846,.6923076923076924
AKLAN,"liquor (e.g, whisky, coconut wine)",MALINAO,345,1,long-neck,350,5,size-based,0,1.014492753623188,.5724217485176846,14,14,9,2.777777777777778,958.3333333333333,2.738095238095238
AKLAN,"liquor (e.g, whisky, coconut wine)",MALINAO,410,2,long-neck,750,5,size-based,0,1.829268292682927,.5724217485176846,14,14,9,2.777777777777778,1138.888888888889,1.518518518518519
