statistic,grouping,level,value
avg_weighings_per_case_by_weighing_approach,weighing_approach,"Conventional NSU (eg. ganta, salmon, salop)",3.7903225806451615
avg_weighings_per_case_by_weighing_approach,weighing_approach,"Price-quantity based (lower, median, higher price)",3.852664576802508
avg_weighings_per_case_by_weighing_approach,weighing_approach,"Size-based (small, medium, large)",6.2875481386392815
n_cases_with_ge1_obs_by_hetero_type,obs_type,conventional_nsu,124.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,large_size,830.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,medium_size,978.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,mp25_price,24.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,mp50_price,34.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,mp75_price,22.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,municipality_median,146.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,province_median,127.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,small_size,1123.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,unique_mun_price6,12.0
n_cases_with_ge1_obs_by_hetero_type,obs_type,unique_mun_price7,2.0
n_cases_multi_hetero_type,overall,all,851.0
avg_weighings_per_case_by_hetero_type,obs_type,conventional_nsu,3.7903225806451615
avg_weighings_per_case_by_hetero_type,obs_type,large_size,3.1433734939759037
avg_weighings_per_case_by_hetero_type,obs_type,medium_size,3.4130879345603273
avg_weighings_per_case_by_hetero_type,obs_type,mp25_price,3.0833333333333335
avg_weighings_per_case_by_hetero_type,obs_type,mp50_price,3.0588235294117645
avg_weighings_per_case_by_hetero_type,obs_type,mp75_price,3.1818181818181817
avg_weighings_per_case_by_hetero_type,obs_type,municipality_median,3.636986301369863
avg_weighings_per_case_by_hetero_type,obs_type,province_median,3.2598425196850394
avg_weighings_per_case_by_hetero_type,obs_type,small_size,3.427426536064114
avg_weighings_per_case_by_hetero_type,obs_type,unique_mun_price6,2.5833333333333335
avg_weighings_per_case_by_hetero_type,obs_type,unique_mun_price7,2.5
weight_raw_n,item | unit,Beef | Kilograms (Kgs),4.0
weight_raw_mean,item | unit,Beef | Kilograms (Kgs),823.1037499904633
weight_raw_median,item | unit,Beef | Kilograms (Kgs),615.6299999952316
weight_raw_sd,item | unit,Beef | Kilograms (Kgs),1007.7208258625762
weight_raw_min,item | unit,Beef | Kilograms (Kgs),1.1549999713897705
weight_raw_max,item | unit,Beef | Kilograms (Kgs),2060.0
weight_raw_n,item | unit,Beef | grams (g),4.0
weight_raw_mean,item | unit,Beef | grams (g),775.0
