id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
1281.0,AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.85,3,85.0,850.0,10.0,0,60.0,173.0
1348.0,AKLAN,NEW WASHINGTON,camote tops,bundle,1110.0,2,111.0,1110.0,10.0,0,290.0,72.0
9623.0,ILOILO,SANTA BARBARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.55,2,55.0,550.0,10.0,0,60.0,173.0
1357.0,AKLAN,NEW WASHINGTON,carrot,pieces or units,340.0,2,34.0,340.0,10.0,1,135.0,1139.0
1385.0,AKLAN,NEW WASHINGTON,"crackers, cookies, buiscuits, chips/curls",pieces or units,100.0,2,10.0,100.0,10.0,1,31.0,453.0
1423.0,AKLAN,NEW WASHINGTON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.2,1,120.0,1200.0,10.0,0,250.0,432.0
9779.0,ILOILO,SARA,fresh fish,pack,0.38,2,38.0,380.0,10.0,1,,
1681.0,ANTIQUE,BARBAZA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
1745.0,ANTIQUE,BELISON,chicken,pieces or units,990.0,2,99.0,990.0,10.0,0,315.0,91.0
1757.0,ANTIQUE,BELISON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.7,3,70.0,700.0,10.0,0,60.0,173.0
1825.0,ANTIQUE,BELISON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
9728.0,ILOILO,SARA,camote,bilog,0.59,2,59.0,590.0,10.0,0,125.0,413.0
9733.0,ILOILO,SARA,camote,bilog,0.29,2,29.0,290.0,10.0,1,125.0,413.0
9736.0,ILOILO,SARA,camote,bilog,0.54,2,54.0,540.0,10.0,0,125.0,413.0
9754.0,ILOILO,SARA,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.12,2,12.0,120.0,10.0,1,31.0,453.0
9764.0,ILOILO,SARA,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.1,2,10.0,100.0,10.0,1,31.0,453.0
9767.0,ILOILO,SARA,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.1,2,10.0,100.0,10.0,1,31.0,453.0
9768.0,ILOILO,SARA,"crackers, cookies, buiscuits, chips/curls",pieces or units,0.1,2,10.0,100.0,10.0,1,31.0,453.0
1910.0,ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.6,3,60.0,600.0,10.0,0,60.0,173.0
1911.0,ANTIQUE,BUGASONG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.65,3,65.0,650.0,10.0,0,60.0,173.0
1546.0,AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,250.0,2,25.0,250.0,10.0,0,65.0,29.0
1547.0,AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",pieces or units,250.0,2,25.0,250.0,10.0,0,65.0,29.0
1554.0,AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.15,1,115.0,1150.0,10.0,0,250.0,432.0
9467.0,ILOILO,SAN RAFAEL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.27,2,27.0,270.0,10.0,0,60.0,173.0
